"","country","total_volunteers","iso","year","gdp_growth","gdp_nominal","gdp_per_capita_nominal","gdp_ppp","gdp_per_capita_ppp","gdp_ppp_share"
"1","Argentina",66825,"ARG",2019,-2,446.762,9941.59,1057.633,23535.013,0.759
"2","Australia",10,"AUS",2019,1.8,1388.092,54391.307,1367.848,53598.066,0.981
"3","Bangladesh",2600,"BGD",2019,7.9,351.238,2154.227,997.25,6116.365,0.715
"4","Benin",4656,"BEN",2019,6.9,14.392,1171.015,40.076,3260.769,0.029
"5","Bhutan",26500,"BTN",2019,4.6,2.618,3547.477,9.464,12823.226,0.007
"6","Brazil",56146,"BRA",2019,1.2,1873.286,9010.512,3333.776,16035.469,2.391
"7","Bulgaria",555,"BGR",2019,4,68.889,9909.937,178.072,25616.355,0.128
"8","Burkina Faso",6345,"BFA",2019,5.5,16.031,765.132,46.783,2232.881,0.034
"9","Cameroon",58824,"CMR",2019,3.4,39.673,1533.161,108.174,4180.421,0.078
"10","Canada",234,"CAN",2019,1.9,1743.725,46430.975,1899.695,50584.055,1.362
"11","China",895058,"CHN",2019,6,14340.6,10170.061,24404.032,17306.842,17.502
"12","Colombia",10506,"COL",2019,3.2,323.055,6540.141,807.591,16349.418,0.579
"13","Cote D_ivoire",3000,"CIV",2019,6.7,60.383,2173.778,155.524,5598.835,0.112
"14","Cyprus",1470,"CYP",2019,5.5,25.95,29626.37,39.411,44995.253,0.028
"15","ECUADOR",22750,"ECU",2019,0.2,107.596,6199.031,217.496,12530.832,0.156
"16","France",52,"FRA",2019,2.1,2723.094,41831.481,3445.275,52925.444,2.471
"17","Germany",120,"DEU",2019,1,3957.645,47629.1,4924.979,59270.69,3.532
"18","Ghana",31900,"GHA",2019,6.5,68.352,2265.705,187.633,6219.567,0.135
"19","Hong Kong",37386,"HKG",2019,-1.7,363.075,48277.982,459.644,61118.848,0.33
"20","India",18392,"IND",2019,3.9,2835.606,2050.163,9932.849,7181.522,7.124
"21","Indonesia",4356600,"IDN",2019,5,1119.1,4192.768,3266.186,12236.943,2.342
"22","Ireland",12,"IRL",2019,5,407.17,81506.342,457.946,91670.644,0.328
"23","Italy",25025,"ITA",2019,0.4,2019.83,33767.005,2787.073,46593.584,1.999
"24","Japan",272823,"JPN",2019,-0.4,5117.995,40547.967,5404.463,42817.548,3.876
"25","Kenya",165360,"KEN",2019,5.1,100.328,2107.735,240.007,5042.165,0.172
"26","Latvia",1729,"LVA",2019,0.6,34.229,17828.071,63.72,33187.953,0.046
"27","Luxembourg",42,"LUX",2019,2.9,69.898,113860.351,75.27,122611.519,0.054
"28","Malaysia",18600,"MYS",2019,4.4,365.178,11228.293,967.568,29750.268,0.694
"29","Maldives",16,"MDV",2019,7.3,5.716,15374.179,11.255,30275.11,0.008
"30","Mexico",12864,"MEX",2019,-0.4,1305.2,10259.746,2638.742,20742.271,1.892
"31","Montenegro",10134,"MNE",2019,4.1,5.543,NA,15.016,NA,0.011
"32","NIGERIA",583392,"NGA",2019,2.2,474.498,2361.108,1123.348,5589.795,0.806
"33","Netherlands",87662,"NLD",2019,2.3,929.006,53755.165,1081.371,62571.485,0.776
"34","Philippines",2666961,"PHL",2019,6.1,376.823,3512.195,988.832,9216.444,0.709
"35","Portugal",2580,"PRT",2019,2.7,240.013,23333.408,389.286,37845.218,0.279
"36","Rwanda",1394,"RWA",2019,9.4,10.349,836.286,29.847,2411.965,0.021
"37","Slovenia",1296,"SVN",2019,3.5,53.916,25909.807,88.492,42525.562,0.063
"38","South Africa",20440,"ZAF",2019,0.3,389.245,6582.757,796.183,13464.726,0.571
"39","Spain",35970,"ESP",2019,2,1403.651,29798.124,2075.23,44055.069,1.488
"40","Sri Lanka",4320,"LKA",2019,-0.2,89.015,4082.694,307.705,14112.953,0.221
"41","Switzerland",86001,"CHE",2019,1.2,721.89,84481.041,632.69,74042.073,0.454
"42","Taiwan_ Republic of China (ROC)",344498,"TWN",2019,3.1,611.396,25903.168,1237.961,52449.039,0.888
"43","Tanzania",14626,"TZA",2019,6.9,58.797,1043.939,164.885,2927.514,0.118
"44","Thailand",50490,"THA",2019,2.1,543.879,7811.477,1427.827,20507.22,1.024
"45","Tunisia",288,"TUN",2019,1.6,41.905,3556.377,148.377,12592.25,0.106
"46","Turkey",30576,"TUR",2019,0.8,760.388,9144.221,2350.308,28264.18,1.686
"47","Ukraine",64866,"UKR",2019,3.2,154.14,3693.498,604.396,14482.52,0.433
"48","United Arab Emirates",9,"ARE",2019,1.1,417.99,43981.612,726.239,76416.109,0.521
"49","United Kingdom",210,"GBR",2019,1.6,2853.074,42712.614,3335.878,49940.539,2.392
"50","United States of America",431420,"USA",2019,2.6,21539.975,65561.32,21539.975,65561.32,15.448
"51","Vietnam",271200,"VNM",2019,7.4,331.818,3439.102,1071.756,11108.123,0.769
